EmployeeID,Name,Department,JoiningDate,Salary,Email,Phone
1027,Diana,finance,2022/01/15,"65,000",charlie@example,
1020,Charlie,HR,2022/01/15,60000,eve@@example.com,
1089,Bob,,2022/01/15,85000,bob_at_example.com,
1031,Diana,Finance,,60000,alice@example.com,9876543210
1011,Alice,Operations,2021-05-12,85000,eve@@example.com,123.456.7890
1043,Diana,Operations,2021-05-12,"65,000",diana@example.com,9876543210
1016,Eve,IT,2022/01/15,,eve@@example.com,
1064,Frank,finance,12/05/2021,55000,,
1047,Frank,Operations,2021-05-12,85000,eve@@example.com,9876543210
1047,Alice,it,2022/01/15,,charlie@example,9876543210
1048,Alice,finance,12/05/2021,85000,bob_at_example.com,123-456-7890
1084,Eve,finance,12/05/2021,55000,diana@example.com,9876543210
1036,,,2021-05-12,60000,,(123)456-7890
1032,Charlie,it,2020-11-30,60000,charlie@example,9876543210
1060,Bob,,12/05/2021,85000,bob_at_example.com,123.456.7890
1026,Alice,Finance,2022/01/15,60000,diana@example.com,9876543210
1011,Diana,Operations,,72000,charlie@example,123.456.7890
1055,Alice,it,2021-05-12,75000USD,bob_at_example.com,(123)456-7890
1072,Charlie,Operations,,"65,000",diana@example.com,123-456-7890
1015,Charlie,finance,12/05/2021,85000,eve@@example.com,123-456-7890
1015,Diana,HR,12/05/2021,75000USD,diana@example.com,9876543210
1096,Charlie,Finance,12/05/2021,60000,alice@example.com,9876543210
1028,Frank,Operations,12/05/2021,,eve@@example.com,9876543210
1077,Eve,HR,2020-11-30,,diana@example.com,(123)456-7890
1029,Bob,finance,,,alice@example.com,123-456-7890
1067,Charlie,Finance,2020-11-30,"65,000",,123.456.7890
1082,,HR,2022/01/15,75000USD,eve@@example.com,9876543210
1094,Alice,it,2020-11-30,75000USD,,123-456-7890
1026,Eve,finance,2022/01/15,55000,,
1031,Frank,Finance,2021-05-12,"65,000",bob_at_example.com,123.456.7890
1056,,it,2021-05-12,75000USD,bob_at_example.com,9876543210
1048,Charlie,Finance,2022/01/15,72000,eve@@example.com,
1081,,Finance,2022/01/15,,,(123)456-7890
1002,Bob,Operations,2022/01/15,,charlie@example,
1059,Alice,HR,2020-11-30,60000,diana@example.com,(123)456-7890
1059,Alice,it,2021-05-12,72000,eve@@example.com,
1011,Frank,HR,2021-05-12,75000USD,,
1037,Diana,Operations,2022/01/15,55000,diana@example.com,9876543210
1065,Eve,Operations,2021-05-12,72000,diana@example.com,123-456-7890
1026,Frank,,2020-11-30,72000,eve@@example.com,9876543210
1041,Frank,,12/05/2021,75000USD,bob_at_example.com,9876543210
1032,Charlie,HR,,"65,000",alice@example.com,(123)456-7890
1014,Eve,it,2020-11-30,,charlie@example,9876543210
1087,Bob,IT,12/05/2021,72000,alice@example.com,
1016,Diana,HR,12/05/2021,60000,bob_at_example.com,
1002,Charlie,finance,2020-11-30,55000,,9876543210
1064,Alice,Operations,2020-11-30,,eve@@example.com,(123)456-7890
1036,Bob,IT,2020-11-30,"65,000",,(123)456-7890
